meeting_number,date,host,cocktail,country_of_origin,city_of_origin,latitude,longitude,primary_liquor,whiskey_type,year_invented,era
28,9/5/2019,John,The Kentucky Buck,USA,USA,39.8283,-98.5795,whiskey,bourbon,1930,1920-1939
29,10/7/2019,Adam,Harvest Moon Old-Fashioned,USA,USA,39.8283,-98.5795,whiskey,bourbon,2010,2000+
30,1/23/2020,Lucas,French 75,France,Paris,48.8566,2.3522,gin,N/A,1915,1900-1919
31,6/11/2020,Chris,Ward 8,USA,"Boston, Massachusetts",42.3601,-71.0589,whiskey,rye,1898,1800s
32,8/6/2020,Joe,Bourbon Tasting – Beam's Choice Collector's Edition 50+; Carleton Tower 50+; Woodford Reserve Double Oaked,USA,Kentucky,37.8393,-84.27,whiskey,bourbon,2000,2000+
33,9/24/2020,John,Vieux Carre,USA,"New Orleans, Louisiana",29.9511,-90.0715,whiskey,rye,1938,1920-1939
34,11/19/2020,Eric,Balvenie 14 Year Old Caribbean Cask Single Malt Scotch,Scotland,"Dufftown, Scotland",57.4486,-3.1272,whiskey,scotch,2000,2000+
35,3/11/2021,Adam,Martinez,USA,"San Francisco, California",37.7749,-122.4194,gin,N/A,1887,1800s
36,5/13/2021,Chris,El Presidente,Cuba,Havana,23.1136,-82.3666,rum,N/A,1920,1920-1939
37,6/10/2021,Joe,The Penicillin,USA,"New York, New York",40.7128,-74.006,whiskey,scotch,2005,2000+
38,9/7/2021,Eric,Blood + Sand,UK,London,51.5074,-0.1278,whiskey,scotch,1930,1920-1939
39,11/23/2021,John,81 Old Fashion,USA,USA,39.8283,-98.5795,whiskey,bourbon,2000,2000+
40,04/14/2022,Adam,Toronto,Canada,"Toronto, Ontario",43.6532,-79.3832,whiskey,rye,1922,1920-1939
41,6/9/2022,Chris,Tuxedo No. 2,USA,"New York, New York",40.7128,-74.006,gin,N/A,1882,1800s
42,7/14/2022,Joe,Brown Derby,USA,"Los Angeles, California",34.0522,-118.2437,whiskey,bourbon,1930,1920-1939
43,8/11/2022,Eric,Painkiller,British Virgin Islands,Tortola,18.4207,-64.64,rum,N/A,1970,1960-1979
44,9/15/2022,John,Stone Fence,USA,USA,39.8283,-98.5795,whiskey,whiskey,1775,1800s
45,11/17/2022,Adam,Cynar Flip,USA,USA,39.8283,-98.5795,other,N/A,2010,2000+
46,1/12/2023,Lucas,Paloma,Mexico,Mexico,23.6345,-102.5528,tequila,N/A,1950,1940-1959
47,3/9/2023,Chris,The Clover Club,USA,"Philadelphia, Pennsylvania",39.9526,-75.1652,gin,N/A,1910,1900-1919
48,4/20/2023,Joe,The New Fashioned,USA,USA,39.8283,-98.5795,whiskey,bourbon,2010,2000+
49,6/8/2023,Eric,Eric's Fancy,USA,USA,39.8283,-98.5795,other,N/A,2020,2000+
50,7/13/2023,John,El Diablo,USA,USA,39.8283,-98.5795,tequila,N/A,1946,1940-1959
51,9/21/2023,Adam,Ginger Pear Bourbon,USA,USA,39.8283,-98.5795,whiskey,bourbon,2015,2000+
52,10/19/2023,Lucas,Late Night Flight,USA,USA,39.8283,-98.5795,other,N/A,2020,2000+
53,11/9/2023,Chris,Turf Club,USA,USA,39.8283,-98.5795,gin,N/A,1894,1800s
54,1/10/2024,Joe,The Cape Codder,USA,"Cape Cod, Massachusetts",41.6688,-70.2962,vodka,N/A,1945,1940-1959
55,3/14/2024,Eric,Gold Rush,USA,"New York, New York",40.7128,-74.006,whiskey,bourbon,2001,2000+
56,4/11/2024,John,Godfather,USA,USA,39.8283,-98.5795,whiskey,scotch,1972,1960-1979
57,5/9/2024,Adam,Oaxaca Old Fashioned,USA,"New York, New York",40.7128,-74.006,tequila,N/A,2007,2000+
58,9/12/2024,Lucas,Remember the Maine,USA,"New York, New York",40.7128,-74.006,whiskey,rye,1899,1800s
60,10/10/2024,Chris,Toronto Sour,Canada,"Toronto, Ontario",43.6532,-79.3832,whiskey,rye,1922,1920-1939
61,11/21/2024,Joe,Blackberry Smash,USA,USA,39.8283,-98.5795,whiskey,bourbon,2010,2000+
62,1/9/2025,John,Pendergast,USA,USA,39.8283,-98.5795,whiskey,whiskey,2020,2000+
63,3/13/2025,Adam,Bubby's Barrel-Aged Manhattan - Elijah Craig Small Batch Edition,USA,USA,39.8283,-98.5795,whiskey,bourbon,2020,2000+
64,5/22/2025,Lucas,Division Bell,USA,"New York, New York",40.7128,-74.006,tequila,N/A,2009,2000+
